canonical_rxn,catalyst1,solvent1,solvent2,reagent1,reagent2,Yield,dataset
Fc1cccc(COc2cccc(Br)n2)c1.OB(O)c1cc(F)ncc1Cl>>Fc1cccc(COc2cccc(-c3cc(F)ncc3Cl)n2)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,COCCOC,,O=C([O-])[O-].[Na+].[Na+],58.5,train
CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cn2)CC1.OB(O)c1ccccc1>>CC(C)(C)OC(=O)N1CCN(c2ccc(-c3ccccc3)cn2)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[Na+].[Na+],80.7,val
CCOC(=O)c1[nH]c2ccccc2c1I.OB(O)c1cccnc1>>CCOC(=O)c1[nH]c2ccccc2c1-c1cccnc1,Cl[Pd]Cl,COCCOC,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],73.95,val
Cc1nc(C(=O)Nc2cc(Br)cc3[nH]ncc23)cs1.OB(O)c1ccc2[nH]ccc2c1>>Cc1nc(C(=O)Nc2cc(-c3ccc4[nH]ccc4c3)cc3[nH]ncc23)cs1,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],6.7,val
Cc1c(Br)c2ccccn2c1C(=O)c1ccc2c(=O)n(CC(=O)OC(C)(C)C)c(=O)[nH]c2c1.O=C(OCc1ccccc1)c1ccc(B(O)O)cc1>>Cc1c(-c2ccc(C(=O)OCc3ccccc3)cc2)c2ccccn2c1C(=O)c1ccc2c(=O)n(CC(=O)OC(C)(C)C)c(=O)[nH]c2c1,Cl[Pd]Cl,CN(C)C=O,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],46.05,val
COc1cccc(F)c1B(O)O.Cc1ccn2nc([C@H](C)Nc3ncnc4c3c(Br)cn4COCC[Si](C)(C)C)n(-c3ccccc3)c(=O)c12>>COc1cccc(F)c1-c1cn(COCC[Si](C)(C)C)c2ncnc(N[C@@H](C)c3nn4ccc(C)c4c(=O)n3-c3ccccc3)c12,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,,,,O=C([O-])[O-].[Na+].[Na+],46.0,train
CC(C)(C)OC(=O)c1ccc(Br)cc1[N+](=O)[O-].OB(O)c1ccncc1>>CC(C)(C)OC(=O)c1ccc(-c2ccncc2)cc1[N+](=O)[O-],Cl[Pd]Cl,COCCOC,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],81.9,val
CC(C)(C)OC(=O)Nc1nc(Br)ns1.OB(O)c1ccc2[nH]ccc2c1>>CC(C)(C)OC(=O)Nc1nc(-c2ccc3[nH]ccc3c2)ns1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[K+].[K+],44.1,train
O=Cc1ccc(Br)cc1F.OB(O)c1cc2cc(C3CCCCC3)ccc2o1>>O=Cc1ccc(-c2cc3cc(C4CCCCC4)ccc3o2)cc1F,Cl[Pd]Cl,CCO,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN(CC)CC,57.45,train
CN(C)CCn1cc(Br)nc1C1CCN(C(=O)OC(C)(C)C)CC1.OB(O)c1ccc(Cl)cc1>>CN(C)CCn1cc(-c2ccc(Cl)cc2)nc1C1CCN(C(=O)OC(C)(C)C)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[Na+].[Na+],77.0,train
Clc1ccc2ncc(Br)n2n1.N#Cc1cccc(B(O)O)c1>>N#Cc1cccc(-c2cnc3ccc(Cl)nn23)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],54.9,train
CC(C)Nc1ncc(-c2cc(Br)c3nncn3c2)s1.OB(O)c1ccccc1F>>CC(C)Nc1ncc(-c2cc(-c3ccccc3F)c3nncn3c2)s1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=P([O-])([O-])[O-].[K+].[K+].[K+],47.0,val
Cn1cc(C=C2Oc3cc(O)cc(O)c3C2=O)c2c(Br)cccc21.OB(O)c1ccc(F)cc1>>Cn1cc(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2c(-c3ccc(F)cc3)cccc21,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN1CCCC1=O,COCCOC,,O=C([O-])[O-].[Na+].[Na+],44.1,val
CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(Br)c1)P(=O)(OC(C)C)OC(C)C.OB(O)c1ccc2[nH]ncc2c1>>CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(-c2ccc3[nH]ncc3c2)c1)P(=O)(OC(C)C)OC(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[K+].[K+],45.0,train
CC(NC(=O)c1cnc2cncc(Br)c2n1)C(C)(C)O.OB(O)c1ccc(Cl)cc1>>CC(NC(=O)c1cnc2cncc(-c3ccc(Cl)cc3)c2n1)C(C)(C)O,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],95.95,val
CC(C)(C)OC(=O)Nc1ccccc1NC(=O)c1ccc(Br)cc1.OB(O)c1ccncc1>>CC(C)(C)OC(=O)Nc1ccccc1NC(=O)c1ccc(-c2ccncc2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1CCOC1,,,O=C([O-])O.[Na+],80.05,val
Cc1cc(F)cc(Br)c1O.OB(O)c1ccoc1>>Cc1cc(F)cc(-c2ccoc2)c1O,Cl[Pd]Cl,COCCOC,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],35.8,val
CC(=O)N1CCN(C(=O)c2cc(-c3ncnc4ccc(Br)cc34)cc(C(F)(F)F)c2)CC1.COc1ccc(B(O)O)cn1>>COc1ccc(-c2ccc3ncnc(-c4cc(C(=O)N5CCN(C(C)=O)CC5)cc(C(F)(F)F)c4)c3c2)cn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CC#N,CCOC(C)=O,,O=C([O-])[O-].[Na+].[Na+],47.1,train
Brc1ccccn1.COc1ccc(C(F)(F)F)cc1B(O)O>>COc1ccc(C(F)(F)F)cc1-c1ccccn1,[Pd],COCCOC,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],77.9,val
CCc1c(-c2ccc(O)cc2)cnc(N)c1Br.COc1ccc(B(O)O)c(F)c1>>CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(OC)cc1F,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,C1COCCO1,O,,O=C([O-])[O-].[Na+].[Na+],34.05,val
Nc1ncnc2c1c(I)nn2Cc1oc(=O)c2ccccc2c1-c1ccccc1.OB(O)c1cc(O)cc(F)c1>>Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2Cc1oc(=O)c2ccccc2c1-c1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,,,O=C([O-])[O-].[Cs+].[Cs+],12.2,train
Brc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1.OB(O)c1ccccc1F>>Fc1ccccc1-c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,Cl[Pd]Cl,COCCOC,ClCCl,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],74.25,val
CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(OCc2ccc(F)cc2)cc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(OCc3ccc(F)cc3)cc2)c1N1CCC(C)(C)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,,,O=C([O-])[O-].[Na+].[Na+],60.05,train
Brc1ccc2oc(N3CCN4CCC3CC4)nc2c1.Cc1cccc(B(O)O)c1>>Cc1cccc(-c2ccc3oc(N4CCN5CCC4CC5)nc3c2)c1,CC(=O)[O-].CC(=O)[O-].[Pd+2],COCCOC,,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCN(CC)CC.[Cs+].[F-],75.25,val
Cc1cc(Br)cc2nnc(N)nc12.O=[N+]([O-])c1cccc(B(O)O)c1>>Cc1cc(-c2cccc([N+](=O)[O-])c2)cc2nnc(N)nc12,[Pd],,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],72.15,val
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ncc(Br)n4c3)cc12.OB(O)c1ccc(F)cc1>>CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ncc(-c5ccc(F)cc5)n4c3)cc12,Cl[Pd]Cl,C1COCCO1,O,CC(C)(C)P([c-]1cccc1)C(C)(C)C.CC(C)(C)P([c-]1cccc1)C(C)(C)C.[Fe+2],O=P([O-])([O-])[O-].[K+].[K+].[K+],38.45,val
COc1ccncc1I.O=[N+]([O-])c1cccc(B(O)O)c1>>COc1ccncc1-c1cccc([N+](=O)[O-])c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,COCCOC,,O=C([O-])[O-].[Na+].[Na+],13.8,val
CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(Br)c1)P(=O)(OC(C)C)OC(C)C.OB(O)c1ccc2[nH]ncc2c1>>CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(-c2ccc3[nH]ncc3c2)c1)P(=O)(OC(C)C)OC(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[K+].[K+],45.0,train
CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(OCCc2ccc(F)cc2)nc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(OCCc3ccc(F)cc3)nc2)c1N1CCC(C)(C)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],9.2,train
CCOC(=O)c1nc2c(C(F)(F)F)cc(Br)cn2c1[N+](=O)[O-].OB(O)c1ccoc1>>CCOC(=O)c1nc2c(C(F)(F)F)cc(-c3ccoc3)cn2c1[N+](=O)[O-],c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,CCOC(C)=O,,O=P([O-])([O-])[O-].[K+].[K+].[K+],73.85,val
Cc1c(Br)c(C#N)nn1C.Nc1ccccc1B(O)O>>Cc1c(-c2ccccc2N)c(C#N)nn1C,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCO,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],58.3,val
O=[N+]([O-])c1ccc2[nH]cc(Br)c2c1.OB(O)c1ccccc1>>O=[N+]([O-])c1ccc2[nH]cc(-c3ccccc3)c2c1,CC(=O)[O-].CC(=O)[O-].[Pd+2],COCCOC,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],9.0,val
Nc1ncc(Br)nc1C(=O)Nc1ccccc1.O=C(O)c1ccc(B(O)O)cc1>>Nc1ncc(-c2ccc(C(=O)O)cc2)nc1C(=O)Nc1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CC#N,O,,O=C([O-])[O-].[Na+].[Na+],71.45,val
NC1=NC2(CO1)c1cc(Br)ccc1OC1CCC(=O)CC12.OB(O)c1cncc(Cl)c1>>NC1=NC2(CO1)c1cc(-c3cncc(Cl)c3)ccc1OC1CCC(=O)CC12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],56.75,train
COc1cc(C(F)(F)F)cc(-n2cc(C)nc2Br)c1[N+](=O)[O-].Cc1cnccc1B(O)O>>COc1cc(C(F)(F)F)cc(-n2cc(C)nc2-c2ccncc2C)c1[N+](=O)[O-],c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],73.7,train
COC(=O)c1sc(N2CCOCC2)c(C#N)c1Br.Cc1ccc(B(O)O)cc1>>COC(=O)c1sc(N2CCOCC2)c(C#N)c1-c1ccc(C)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,COCCOC,,O=C([O-])[O-].[K+].[K+],78.0,train
Clc1nc(N2CCOCC2)c2ncc(Br)cc2n1.O=C(O)c1ccc(B(O)O)cc1>>O=C(O)c1ccc(-c2cnc3c(N4CCOCC4)nc(Cl)nc3c2)cc1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CCO,O,,O=C([O-])[O-].[Na+].[Na+],71.45,train
Brc1nccs1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nccs2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[K+].[K+],48.55,train
CC(C)N(C[C@@H](C(=O)N1CCN(c2c(Br)cnc3[nH]ccc23)CC1)c1ccc(Cl)cc1)C(=O)OC(C)(C)C.OB(O)c1ccccc1>>CC(C)N(C[C@@H](C(=O)N1CCN(c2c(-c3ccccc3)cnc3[nH]ccc23)CC1)c1ccc(Cl)cc1)C(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[K+].[K+],2.0,train
COc1cccc(N(C)C(=O)c2ccc(Br)s2)c1.Cc1cccc(B(O)O)c1F>>COc1cccc(N(C)C(=O)c2ccc(-c3cccc(C)c3F)s2)c1,[Pd],,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,,93.9,val
N#Cc1ccc(Cl)c(B(O)O)c1.NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1Br>>N#Cc1ccc(Cl)c(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1,Cl[Pd]Cl,COCCOC,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],12.85,val
O=[N+]([O-])c1ccc(Oc2cc3cnn(C4CCCCO4)c3cc2Br)c(F)c1.OB(O)c1ccncc1>>O=[N+]([O-])c1ccc(Oc2cc3cnn(C4CCCCO4)c3cc2-c2ccncc2)c(F)c1,Cl[Pd]Cl,C1COCCO1,CCOC(C)=O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,[Cs+].[F-],56.0,val
CC(C)(C)OC(=O)n1c(B(O)O)cc2ccccc21.COc1cc(I)c2c(c1OS(C)(=O)=O)CNC2=O>>COc1cc(-c2cc3ccccc3n2C(=O)OC(C)(C)C)c2c(c1OS(C)(=O)=O)CNC2=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC#N,,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CCN(CC)CC,92.8,val
CN1CCC[C@@H](COc2cc(Br)c(Cl)n3cncc23)C1.N#Cc1ccc(B(O)O)cc1>>CN1CCC[C@@H](COc2cc(-c3ccc(C#N)cc3)c(Cl)n3cncc23)C1,CC(=O)[O-].CC(=O)[O-].[Pd+2],C1COCCO1,O,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,O=C([O-])[O-].[Na+].[Na+],81.85,val
Cc1n[nH]c2cnc(Br)cc12.OB(O)c1cccc(F)c1>>Cc1n[nH]c2cnc(-c3cccc(F)c3)cc12,Cl[Pd]Cl,C1COCCO1,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],34.4,val
N#Cc1cc(I)c2c(c1)ncn2-c1ccccc1.O=[N+]([O-])c1cccc(B(O)O)c1>>N#Cc1cc(-c2cccc([N+](=O)[O-])c2)c2c(c1)ncn2-c1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[K+].[K+],7.8,val
NC1=N[C@@]2(COC1)c1cc(Br)ccc1Oc1ccc(-c3ccnc(F)c3)cc12.OB(O)c1cccnc1F>>NC1=N[C@]2(COC1)c1cc(-c3ccnc(F)c3)ccc1Oc1ccc(-c3cccnc3F)cc12,Cl[Pd]Cl,C1COCCO1,O,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],68.5,val
Brc1ccccn1.O=S1(=O)NC(C2CCCCC2)=Nc2c(Cl)ccc(B(O)O)c21>>O=S1(=O)NC(C2CCCCC2)=Nc2c(Cl)ccc(-c3ccccn3)c21,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],58.1,val
COC(=O)c1nc2c(C(F)(F)F)cc(I)cn2c1Br.OB(O)c1ccoc1>>COC(=O)c1nc2c(C(F)(F)F)cc(-c3ccoc3)cn2c1Br,Cl[Pd]Cl,CC#N,ClCCl,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],79.15,val
CC(C)(Cc1cnc2c(Br)cccn12)[N+](=O)[O-].OB(O)c1cccs1>>CC(C)(Cc1cnc2c(-c3cccs3)cccn12)[N+](=O)[O-],c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],100.0,val
CC(O)c1oc(=O)c2ccccc2c1Br.COc1ccc(B(O)O)cn1>>COc1ccc(-c2c(C(C)O)oc(=O)c3ccccc23)cn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[Cs+].[Cs+],37.85,train
Cc1ccnc(Br)c1.O=Cc1ccc(B(O)O)cc1>>Cc1ccnc(-c2ccc(C=O)cc2)c1,[Pd],CCOC(C)=O,COCCOC,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],21.1,val
CCOC(=O)Cc1ccc2nc(Br)sc2c1.Cc1ncccc1B(O)O>>CCOC(=O)Cc1ccc2nc(-c3cccnc3C)sc2c1,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],67.1,val
NC(=O)c1cc(Br)cc2c(C3CCS(=O)(=O)C3)c[nH]c12.OB(O)c1ccoc1>>NC(=O)c1cc(-c2ccoc2)cc2c(C3CCS(=O)(=O)C3)c[nH]c12,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],35.65,val
Brc1cscn1.O=Cc1ccc(B(O)O)cc1>>O=Cc1ccc(-c2cscn2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])O.[Na+],85.0,val
OB(O)c1ccc(Cl)cc1.Oc1ccc(I)nc1Br>>Oc1ccc(-c2ccc(Cl)cc2)nc1Br,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[K+].[K+],51.85,train
Cn1cc(B(O)O)cn1.Ic1ccc2nccn2c1>>Cn1cc(-c2ccc3nccn3c2)cn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,O,,O=C([O-])O.[Na+],61.6,train
COC(=O)/C=C/c1ccc(Oc2c(Br)sc3cc(OC)ccc23)cc1.Cc1cccc(C(C)C)c1B(O)O>>COC(=O)/C=C/c1ccc(Oc2c(-c3c(C)cccc3C(C)C)sc3cc(OC)ccc23)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,[Ba+2].[OH-].[OH-],84.95,val
Cc1cc2c(Br)nn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2cc1[N+](=O)[O-].OB(O)c1ccncc1>>Cc1cc2c(-c3ccncc3)nn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2cc1[N+](=O)[O-],Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],56.2,val
CC(=O)OCc1c(B(O)O)ccnc1N1CCn2c(cc3c2CC(C)(C)C3)C1=O.Cn1cc(Br)cc(Nc2cc[nH]n2)c1=O>>CC(=O)OCc1c(-c2cc(Nc3cc[nH]n3)c(=O)n(C)c2)ccnc1N1CCn2c(cc3c2CC(C)(C)C3)C1=O,Cl[Pd]Cl,CC#N,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CC(=O)[O-].CC(=O)[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[Na+].[Na+].[Na+].[Na+],37.7,val
